id,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
161,47.500 ₫,-50%,203,935,4.5,628,3,4.6
162,1.150.000 ₫,0,21,52,4.7,169,2,4.8
163,50.000 ₫,-40%,22,130,4.6,441,4,4.6
164,176.000 ₫,-5%,7,14,4.8,21708,5,4.9
165,594.150 ₫,-15%,0,0,4.7,6144,1,4.6
166,132.000 ₫,-26%,9,20,4.6,544,4,0.0
167,568.000 ₫,-30%,27,46,4.7,2150,4,4.9
168,216.000 ₫,-23%,2,7,4.4,71,1,5.0
169,1.794.000 ₫,-40%,21,54,4.5,8294,6,5.0
170,42.000 ₫,-42%,26,130,4.6,441,3,4.6
171,360.050 ₫,-5%,7,10,4.6,544,4,4.7
172,604.000 ₫,-11%,0,0,4.3,554,1,0.0
173,169.000 ₫,0,13,43,4.4,91,2,4.5
174,38.490 ₫,0,18,96,4.4,1024,3,4.8
175,59.000 ₫,0,2,8,4.2,75,1,4.0
176,68.970 ₫,0,2,13,4.1,79,1,4.5
177,169.000 ₫,0,227,605,4.4,817,1,4.6
178,49.000 ₫,-11%,3,10,4.5,400,4,5.0
179,380.000 ₫,0,4,7,4.5,35,5,5.0
180,432.000 ₫,-7%,4,10,4.8,21708,2,0.0
181,23.000 ₫,-21%,9,71,4.2,1331,3,4.8
182,176.000 ₫,-5%,3,14,4.8,21708,5,5.0
183,89.000 ₫,-50%,2,6,4.3,846,1,3.0
184,455.000 ₫,-7%,9,28,4.8,21708,5,4.8
185,271.000 ₫,-46%,1,37,4.4,135,1,4.7
186,119.000 ₫,0,10,7,4.3,77,2,4.0
187,390.000 ₫,-50%,34,80,4.6,237,4,4.9
188,0,0,7,21,4.2,2,2,4.6
189,45.000 ₫,0,10,79,4.4,916,1,4.7
190,100.000 ₫,0,52,230,4.6,67,2,4.6
191,35.000 ₫,0,21,126,4.6,57,0,4.8
192,72.000 ₫,-35%,52,367,4.6,441,4,4.7
193,399.000 ₫,-53%,33,132,4.2,702,10,4.4
194,179.000 ₫,-43%,2,5,4.4,91,2,5.0
195,350.000 ₫,-30%,3,6,4.6,441,4,4.7
196,46.000 ₫,0,2,52,4.6,4812,3,5.0
197,569.500 ₫,-33%,4,5,4.6,251,2,5.0
198,45.000 ₫,-43%,70,191,4.1,1843,3,3.6
199,299.000 ₫,-15%,94,306,4.5,312,1,4.7
200,299.000 ₫,-27%,77,167,4.4,260,4,4.4
201,129.000 ₫,-50%,64,185,4.3,846,1,4.5
202,119.000 ₫,0,3,8,4.3,152,2,3.0
203,297.000 ₫,-41%,4,19,4.3,237,4,4.8
204,169.000 ₫,0,178,459,4.4,817,1,4.5
205,350.000 ₫,0,13,29,4.5,1843,1,4.7
206,439.000 ₫,0,37,99,4.2,87,2,4.2
207,99.000 ₫,-41%,6,12,4.6,19,1,2.8
208,71.000 ₫,0,9,35,4.7,304,3,4.3
209,78.000 ₫,0,29,60,4.4,774,2,4.3
210,5.850 ₫,-25%,13,242,4.4,242,1,4.2
211,99.000 ₫,-70%,2,4,4.3,502,1,2.5
212,23.000 ₫,-30%,2,6,4.2,1331,3,4.5
213,71.680 ₫,0,1,15,4.2,453,5,4.0
214,990.000 ₫,0,1130,2640,4.7,479232,2,4.9
215,67.000 ₫,0,4,11,4.1,29,1,4.0
216,45.000 ₫,0,2,5,4.6,29,1,3.5
217,90.300 ₫,-30%,2,9,4.5,1331,3,5.0
218,555.000 ₫,-34%,49,102,4.7,2150,4,4.8
219,89.000 ₫,0,3,7,4.7,91,1,5.0
220,38.000 ₫,0,10,67,4.7,73,0,4.7
221,281.000 ₫,-44%,5,11,4.3,237,4,4.8
222,790.000 ₫,0,2,4,4.6,85,2,5.0
223,179.000 ₫,0,67,169,4.4,91,2,4.3
224,250.000 ₫,0,9,16,4.3,129,1,4.9
225,179.000 ₫,0,11,33,4.4,817,1,4.5
226,179.000 ₫,0,79,186,4.4,817,1,4.6
227,199.000 ₫,-50%,27,92,4.3,846,1,4.6
228,199.000 ₫,0,7,14,4.3,152,2,4.3
229,60.000 ₫,-40%,1,8,4.6,441,4,5.0
230,240.000 ₫,-20%,31,229,4.2,122,2,4.4
231,55.000 ₫,-45%,21,137,4.5,628,3,4.7
232,1.690.000 ₫,0,3,6,4.9,2457,2,5.0
233,350.000 ₫,0,16,37,4.2,216,2,4.8
234,12.000 ₫,-17%,24,297,4.6,441,3,4.7
235,129.000 ₫,0,57,723,4.4,261,1,4.2
236,297.000 ₫,-41%,0,0,4.4,91,1,0.0
